time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,Symbol
1568592000,10411.06,10103.87,10313.02,27381.87,280632567.99,10271.79,direct,,2019-09-16,BTC
1568678400,10297.99,10152.47,10271.79,21680.68,221966422.11,10198.62,direct,,2019-09-17,BTC
1568764800,10272.19,10100.9,10198.62,21739.97,221697128.61,10163.38,direct,,2019-09-18,BTC
1568851200,10368.46,9641.11,10163.38,45685.81,456963432.6,10281.03,direct,,2019-09-19,BTC
1568937600,10321.18,10065.55,10281.03,20930.03,213229233.56,10176.38,direct,,2019-09-20,BTC
1569024000,10187.64,9944.61,10176.38,17868.39,179453539.43,9988.38,direct,,2019-09-21,BTC
1569110400,10096.66,9871.97,9988.38,17799.44,178007946.58,10036.98,direct,,2019-09-22,BTC
1569196800,10073.79,9636.2,10036.98,33287.92,327752087.22,9694.6,direct,,2019-09-23,BTC
1569283200,9787.58,8107.01,9694.6,121811.28,1084866143.86,8542.54,direct,,2019-09-24,BTC
1569369600,8752.2,8246.24,8542.54,74724.79,631898763.59,8446.97,direct,,2019-09-25,BTC
1569456000,8471.02,7753.71,8446.97,80375.17,652614929.72,8074.99,direct,,2019-09-26,BTC
1569542400,8304.22,7888.5,8074.99,48376.65,390323710.89,8201.36,direct,,2019-09-27,BTC
1569628800,8345.03,8044.45,8201.36,29802.19,244186983.17,8223.65,direct,,2019-09-28,BTC
1569715200,8265.99,7943.33,8223.65,28053.51,226712656.15,8065.26,direct,,2019-09-29,BTC
1569801600,8372.24,7736.96,8065.26,50440.1,407250929.38,8314.62,direct,,2019-09-30,BTC
1569888000,8537.6,8212.01,8314.62,42368.0,355446344.41,8326.64,direct,,2019-10-01,BTC
1569974400,8403.51,8186.3,8326.64,24785.21,205325219.19,8391.52,direct,,2019-10-02,BTC
1570060800,8434.63,8105.02,8391.52,30435.91,250685863.87,8246.3,direct,,2019-10-03,BTC
1570147200,8267.11,8021.3,8246.3,26268.19,214500278.91,8168.05,direct,,2019-10-04,BTC
1570233600,8232.25,8052.51,8168.05,17371.63,141685742.42,8172.48,direct,,2019-10-05,BTC
1570320000,8221.03,7822.65,8172.48,30026.91,239636660.01,7868.31,direct,,2019-10-06,BTC
1570406400,8326.01,7798.09,7868.31,39653.14,321239400.73,8215.11,direct,,2019-10-07,BTC
1570492800,8354.19,8126.71,8215.11,21060.16,173334218.05,8191.87,direct,,2019-10-08,BTC
1570579200,8697.56,8132.74,8191.87,47097.59,398201725.27,8593.16,direct,,2019-10-09,BTC
1570665600,8672.58,8466.13,8593.16,29187.08,250267419.87,8596.57,direct,,2019-10-10,BTC
1570752000,8834.11,8259.77,8596.57,38612.05,326882172.42,8278.05,direct,,2019-10-11,BTC
1570838400,8439.44,8272.12,8278.05,11037.58,92609964.73,8316.66,direct,,2019-10-12,BTC
1570924800,8498.59,8194.16,8316.66,20190.99,168896951.15,8296.34,direct,,2019-10-13,BTC
1571011200,8414.24,8228.06,8296.34,17507.78,146015532.85,8363.94,direct,,2019-10-14,BTC
1571097600,8439.31,8116.92,8363.94,24899.11,205674618.32,8173.48,direct,,2019-10-15,BTC
1571184000,8193.41,7945.77,8173.48,34102.92,274670310.13,8014.39,direct,,2019-10-16,BTC
1571270400,8145.5,7948.95,8014.39,21657.02,175172893.7,8082.46,direct,,2019-10-17,BTC
1571356800,8157.36,7850.66,8082.46,27732.54,221065928.44,7972.62,direct,,2019-10-18,BTC
1571443200,8108.69,7919.05,7972.62,17875.39,143202359.39,7973.63,direct,,2019-10-19,BTC
1571529600,8326.13,7911.49,7973.63,25287.68,205394286.06,8247.25,direct,,2019-10-20,BTC
1571616000,8359.52,8177.11,8247.25,22831.65,188511539.86,8223.25,direct,,2019-10-21,BTC
1571702400,8318.41,8021.36,8223.25,24453.79,200593851.39,8034.5,direct,,2019-10-22,BTC
1571788800,8071.8,7336.06,8034.5,60122.39,457672451.42,7479.54,direct,,2019-10-23,BTC
1571875200,7524.31,7370.13,7479.54,28580.18,213663114.76,7444.2,direct,,2019-10-24,BTC
1571961600,8783.85,7431.2,7444.2,79777.72,656574822.36,8671.1,direct,,2019-10-25,BTC
1572048000,10380.48,8654.84,8671.1,154648.62,1457875080.4,9258.98,direct,,2019-10-26,BTC
1572134400,9805.42,9114.58,9258.98,64673.13,614726341.04,9550.6,direct,,2019-10-27,BTC
1572220800,9934.71,9201.49,9550.6,54907.49,522287119.66,9222.23,direct,,2019-10-28,BTC
